4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.07,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.05,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.05,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.05,79,79,79,0
